Apples,1.99,150
Bananas,0.99,200
Oranges,2.49,180
Milk,2.19,120
Bread,1.49,300
Eggs,3.99,250
Tomatoes,1.89,400
Potatoes,0.79,1000
Onions,0.69,950
Carrots,0.99,800
Beef,9.99,120
Chicken,6.49,170
Pork,7.99,160
Fish,8.99,140
Cheese,4.49,220
Butter,3.79,180
Yogurt,1.09,260
Cereal,3.29,300
Rice,1.19,850
Pasta,1.49,820
Salt,0.49,950
Sugar,0.89,880
Flour,1.29,770
Oil,2.79,680
Vinegar,1.59,510
Ketchup,2.19,440
Mayonnaise,3.39,420
Mustard,1.69,430
Lettuce,1.19,390
Cucumber,0.99,500
Peppers,1.59,450
Broccoli,1.99,430
Cauliflower,2.29,410
Spinach,1.49,380
Zucchini,1.39,470
Eggplant,1.89,420
Mushrooms,2.59,390
Garlic,0.79,600
Ginger,1.99,380
Chili,0.89,510
Avocado,2.49,300
Mango,2.79,330
Pineapple,3.29,320
Strawberries,4.99,340
Blueberries,5.99,310
Raspberries,6.49,280
Blackberries,6.79,270
Watermelon,3.99,290
Melon,2.99,300
Peach,2.49,310
Plum,2.19,300
Grapes,3.49,330
Lemon,1.09,440
Lime,1.19,420
Coconut,2.99,230
Kiwi,1.39,270
Papaya,3.59,250
Dates,4.39,260
Figs,5.29,200
Almonds,6.99,280
Walnuts,7.99,260
Cashews,8.99,240
Peanuts,3.99,390
Hazelnuts,6.79,310
Pistachios,9.49,270
Raisins,2.29,450
Chips,2.49,600
Chocolate,3.49,580
Cookies,2.79,590
Biscuits,1.89,570
Crackers,2.19,550
Popcorn,1.29,620
Juice,2.99,640
Soda,1.49,700
Tea,3.59,520
Coffee,5.99,510
Honey,4.49,480
Jam,2.69,530
Syrup,3.39,490
IceCream,4.99,430
ButterMilk,2.09,410
Tofu,2.19,370
SoyMilk,2.59,390
AlmondMilk,3.09,360
OatMilk,2.89,350
Shampoo,4.99,300
Toothpaste,2.49,400
Soap,1.49,500
Detergent,5.49,420
Bleach,3.49,410
Cleaner,4.59,430
Tissues,1.99,460
Napkins,2.29,470
ToiletPaper,6.99,390
PaperTowels,5.99,410
Batteries,8.99,330
LightBulbs,6.49,350
Pens,1.99,600
Notebooks,2.99,550
